Area Code,Latitude (generated),Longitude (generated)
985,30.0171,-90.5381
979,29.8342,-96.3092
978,42.5386,-71.5302
972,32.7719,-96.6471
971,45.3095,-122.9297
970,40.5015,-103.8024
959,41.6668,-72.2232
956,26.3253,-97.8459
954,26.1522,-80.4882
951,33.7252,-117.0678
949,33.5839,-117.6624
941,26.483,-81.6543
940,33.5679,-98.7758
937,39.974,-84.4158
936,30.9887,-95.0778
925,37.832,-121.8395
920,44.0841,-88.3858
918,35.8201,-95.5859
917,40.7807,-73.971
916,38.6711,-121.2057
915,31.5153,-105.1776
914,41.1631,-73.7528
909,34.1302,-117.2914
904,30.2372,-81.7951
903,32.7051,-95.3898
863,27.3254,-81.3911
860,41.6668,-72.2232
858,32.9267,-117.1324
857,42.3094,-71.1143
850,30.4596,-85.2717
847,42.1956,-88.1037
845,41.682,-74.2591
832,29.8375,-95.3773
831,36.5177,-121.2793
830,29.2016,-100.0666
818,34.2466,-118.3824
817,32.6552,-97.4886
816,39.3056,-94.4093
815,41.7261,-89.0911
813,27.9814,-82.2151
806,34.6623,-101.5988
805,35.1239,-120.235
801,40.6172,-111.8057
786,25.6032,-80.5688
781,42.0901,-70.7913
775,39.5685,-116.7693
774,42.2039,-71.7857
773,41.766,-87.6803
772,27.7132,-80.6834
760,34.1811,-115.5065
754,26.1522,-80.4882
740,39.6733,-82.1325
727,28.0776,-82.6963
720,39.7135,-104.8286
719,38.1646,-104.3392
718,40.682,-73.8676
716,42.7571,-77.978
715,45.3889,-90.5008
714,33.8584,-117.8141
713,29.8375,-95.3773
712,42.2301,-95.4184
708,41.4772,-87.6454
707,39.7188,-123.2544
702,36.1591,-114.9384
682,32.6552,-97.4886
661,35.0751,-118.9021
660,39.6472,-93.3834
650,37.4198,-122.3053
646,40.7807,-73.971
641,41.3723,-92.5752
636,38.5784,-90.7979
631,40.8747,-72.8772
630,41.8107,-88.2543
626,34.1081,-117.9847
619,32.7455,-116.7277
618,38.3294,-89.0143
617,42.3094,-71.1143
614,39.9666,-83.0368
608,43.3764,-90.2322
607,42.3353,-76.0755
603,43.6869,-71.5791
585,42.7571,-77.978
580,36.7492,-100.8666
573,37.9196,-91.1363
567,41.0549,-83.6246
563,42.5281,-91.2303
562,33.8805,-118.0932
561,26.6408,-80.448
559,36.6007,-119.378
541,43.793,-120.3059
530,40.4342,-121.5609
518,43.5622,-73.9857
516,40.7539,-73.5959
515,42.2363,-93.9276
513,39.2681,-84.3669
512,30.3051,-97.6524
510,37.7065,-122.0961
509,47.3589,-119.0602
508,42.2039,-71.7857
505,35.012,-106.9146
504,29.9001,-89.9102
503,45.3095,-122.9297
475,41.3475,-73.1608
469,32.7719,-96.6471
440,41.6242,-80.9906
435,38.4074,-111.547
432,30.8796,-102.9242
430,32.7051,-95.3898
425,47.5702,-121.8866
419,41.0549,-83.6246
417,37.2163,-93.1811
415,38.0415,-122.6941
414,42.997,-87.9769
413,42.3528,-72.8316
409,30.4955,-94.1104
408,37.2275,-121.7007
407,28.3251,-81.222
405,35.3906,-97.4724
386,30.1711,-82.8195
361,28.0396,-97.7777
360,46.4616,-122.7843
352,29.1413,-82.3128
351,42.5386,-71.5302
347,40.682,-73.8676
339,42.0901,-70.7913
337,30.138,-92.6425
330,40.9095,-81.3094
325,31.5449,-100.1024
323,33.9707,-118.2352
321,28.3251,-81.222
319,42.5281,-91.2303
318,32.0622,-92.5447
315,43.6012,-75.6484
314,38.6702,-90.338
312,41.8733,-87.6452
310,33.8867,-118.3636
309,40.8025,-89.957
305,25.6032,-80.5688
303,39.7135,-104.8286
281,29.8375,-95.3773
262,42.9506,-88.2835
254,31.7643,-97.7102
253,47.1699,-122.3608
239,26.483,-81.6543
234,40.9095,-81.3094
225,30.5291,-91.1149
224,42.1956,-88.1037
217,39.7874,-89.3391
216,41.4663,-81.6302
214,32.7719,-96.6471
213,34.0494,-118.2664
212,40.7807,-73.971
210,29.4469,-98.5022
209,37.8102,-120.5246
206,47.5909,-122.3131
203,41.3475,-73.1608
